Date,"Spend (Cost, Amount Spent)",Action Link Clicks,Impressions,Action Leads,Ad ID,Ad Name,Instagram Permalink URL,Adset Name,Campaign ID,Campaign Name,Action Landing Page View,Action Video View,Video 15 Sec Watched Actions,Video 50 Percent Watched Actions,Video 75 Percent Watched Actions,Video 95 Percent Watched Actions
2026-01-01,"12,34",2,140,1,120237759044340229,tmb_out23-lead-boleto-adv01-3-tiktok-reteste,https://www.instagram.com/p/DRxcwISACMT/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,1,26,5,2,3,2
2026-01-01,"15,27",2,295,0,120239279658030229,tmb_dez25-lead-adv06,https://www.instagram.com/p/DSIBm2IAPLy/,interesses-drop15m-30_44,120234770370020229,perpetuo-lead-frio-info-interesses,1,56,8,5,3,2
2026-01-01,"27,17",3,445,0,120237759044360229,tmb_mai25-lead-adc13,https://www.instagram.com/p/DTd-OyjgCfN/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,1,2,1,2,1,1
2026-01-01,"35,54",5,738,1,120237759044380229,tmb_ago24-lead-boleto-adv08-corte_podcast-reteste,https://www.instagram.com/p/DRxc-M0APse/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,2,146,30,20,12,10
2026-01-01,"42,61",7,804,0,120237759044390229,tmb_out25-lead-boleto-adv03,https://www.instagram.com/p/DRxc5HEgD-D/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,4,138,45,33,28,19
2026-01-01,"51,05",5,1082,1,120239258285600229,tmb_dez25-lead-adv05,https://www.instagram.com/p/DSIBm6tgHla/,interesses-drop15m-30_44,120234770370020229,perpetuo-lead-frio-info-interesses,4,125,35,22,13,11
2026-01-01,"54,47",12,1407,3,120240012048760229,tmb_jan26-lead-500-adi02,https://www.instagram.com/p/DS5ClamAMpL/,tmb_jan26-lead-500-adi02-CADASTRO-LL_1%-25_55-H_M-BR-AUTOMATICO-LEAD,120231968891470229,perpetuo-lead-frio-boleto_parcelado-teste_ads,10,0,0,0,0,0
2026-01-01,"54,8",6,1064,2,120240012054880229,tmb_jan26-lead-500-adc01,https://www.instagram.com/p/DS5ClC6AGTE/,tmb_jan26-lead-500-adc01-CADASTRO-LL_1%-25_55-H_M-BR-AUTOMATICO-LEAD,120231968891470229,perpetuo-lead-frio-boleto_parcelado-teste_ads,2,26,5,17,7,5
2026-01-01,"55,04",6,988,3,120240011760530229,tmb_jan26-lead-500-adi01,https://www.instagram.com/p/DS5Ck8NADJb/,tmb_jan26-lead-500-adi01-CADASTRO-LL_1%-25_55-H_M-BR-AUTOMATICO-LEAD,120231968891470229,perpetuo-lead-frio-boleto_parcelado-teste_ads,7,0,0,0,0,0
2026-01-01,"55,22",22,1625,1,120239098465350229,tmb_dez25-lead-adv08,https://www.instagram.com/p/DSIBoOEgEOl/,tmb_dez25-lead-adv08-CADASTRO-LL_1%-25_55-H_M-BR-AUTOMATICO-LEAD,120231968891470229,perpetuo-lead-frio-boleto_parcelado-teste_ads,13,478,132,172,76,57
2026-01-01,"128,79",19,3609,2,120234770370030229,tmb_set25-lead-pix-adv35,https://www.instagram.com/p/DPTo9V7gHAC/,interesses-drop15m-30_44,120234770370020229,perpetuo-lead-frio-info-interesses,10,456,136,296,197,141
2026-01-01,"220,62",42,5280,5,120235283062850229,tmb_out23-lead-boleto-adv01-3-tiktok-reteste,https://www.instagram.com/p/DPouK9gALbB/,interesses-drop15m-30_44,120234770370020229,perpetuo-lead-frio-info-interesses,27,1134,142,42,25,17
2026-01-01,"473,99",73,14303,8,120234770369990229,tmb_mai25-lead-adc23,https://www.instagram.com/p/DTd-iqVAPxU/,interesses-drop15m-30_44,120234770370020229,perpetuo-lead-frio-info-interesses,44,15,2,9,4,2
2026-01-02,"10,14",2,137,1,120237759044360229,tmb_mai25-lead-adc13,https://www.instagram.com/p/DTd-OyjgCfN/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,2,5,2,2,2,2
2026-01-02,"12,43",0,176,0,120237759044340229,tmb_out23-lead-boleto-adv01-3-tiktok-reteste,https://www.instagram.com/p/DRxcwISACMT/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,0,26,3,0,0,0
2026-01-02,"14,35",0,226,0,120239279658030229,tmb_dez25-lead-adv06,https://www.instagram.com/p/DSIBm2IAPLy/,interesses-drop15m-30_44,120234770370020229,perpetuo-lead-frio-info-interesses,0,56,7,3,2,1
2026-01-02,"32,51",2,629,2,120237759044380229,tmb_ago24-lead-boleto-adv08-corte_podcast-reteste,https://www.instagram.com/p/DRxc-M0APse/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,2,111,20,13,8,5
2026-01-02,"42,17",4,630,2,120237759044390229,tmb_out25-lead-boleto-adv03,https://www.instagram.com/p/DRxc5HEgD-D/,lead-publico_sugerido,120237759044310229,perpetuo-lead-frio-infoprodutores-publico_sugerido,3,142,50,23,18,13
2026-01-02,"48,37",15,1360,2,120239098465350229,tmb_dez25-lead-adv08,https://www.instagram.com/p/DSIBoOEgEOl/,tmb_dez25-lead-adv08-CADASTRO-LL_1%-25_55-H_M-BR-AUTOMATICO-LEAD,120231968891470229,perpetuo-lead-frio-boleto_parcelado-teste_ads,11,433,123,142,77,54
